Product,Category,Price,Individual Review,Location,Date,Review,Helpful
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-02-24,"I had previously bought mats like these from another company on amazon.I had to buy these to replace them. the comparison is indescribable. These mats are fantastic, I have a home gym, a children's play area and even an area outside on the patio for the dog to play on. if you are looking for this product I would recommend this seller wholeheartedly this product is, I would say the best on the market and excellent value for money",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-05-20,"These are really cool, decent size but I personally would of liked more in a pack but hey ho, they are pretty cool for any gym set up at home",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-07-07,"Absolutely brilliant, stick very well to the gym floor. Only been a week but have done some intensive training on them and the mats have still not moved an inch.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-01-29,A little thinner than I thought they would be but standing up well against a busy home gym after several weeks. Very simple to put together and looks great. Good value for money.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,2.0,United Kingdom,2020-05-20,I bought these for lockdown training in my garden. If you are doing any sort of movement exercise (ie anything beyond standing on the spot) they just come apart at the edges. These are flimsier than my 2 year old’s mats in her nursery to be honest. Will instead look for something more robust.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-04-12,"I put these down to workout in our sitting room, and they are just what I needed. They make higher-impact workouts much better on my joints, and turns are much easier to do than they were on the carpet that's underneath. Also, they're quick and easy to put down and take back up when I'm done. I got very fast shipping too, which is much appreciated.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,1.0,United Kingdom,2020-07-18,Product not worth the money. No better than cheaper options. Very slippery and do not stay together so I fact become dangerous.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-06-10,"Just using a thin exercise mat was a bit hard on my joints, so I got this mat to use as a base, and I’ve been quite happy with the results.  I put them together every time to use them and tear them apart after and it’s fairly quick and easy and they don’t take up much space.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2019-12-14,"These are great. They are warm, comfortable to walk on and great quality. Fit together really well.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-01-05,Perfect for what I needed them for! Got them for my rabbits so they won't chew on my carpet and it's just perfect,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-05-02,We baught these to go under our hot tub and were perfect for the job  wouldDeffanatly  recomend.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-05-29,Used as a base for the framed swimming pool. Fits together well and gives a flatter softer bottom on the pool while protecting it from being ripped.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-06-26,"Arrived quickly& fair quality, soft but durable & non slip, I haven’t used them properly yet as they only arrived today. I ordered 6 but I think I’ll order some more to get a good coverage of trading area, they look & feel good though",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,5.0,United Kingdom,2020-06-17,"Arriving quickly, the 6-piece mats are perfect for my home gym. Already put to good use under the treadmill and there is no imprint on the carpet - couldn’t have hoped for more.Will buy more in the future.",0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-03-28,Seems a good product. Easy to install. Smell-less and looks cool. Can’t help thinking it’s somewhat over-priced for what it is though.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2019-12-15,Used this for gym flooring. It is a little thin. But very easy to assemble and setup.,0
"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",Gym,19.95,4.0,United Kingdom,2020-07-19,"These are great for my little crawler, stop any nasty bumps on the hard tiles floor. My only criticism is that they discolour after time and look a bit dirty, despite regular cleaning.",0
